@T,management 
name,managment.csv 
desc,management input parameters 

# landuse management
# Date format 'MM-DD' 
# ID crop-ID referred to crop.csv
# Date when operation starts
# Till-id according to till.csv
# Fert-id according to fert.csv
# FAmount amount of fertilizer application [kg/ha] absolut
# Plant (1) assumes that planting operation; - no planting
# Harvest (1-4)assumes that plant is harvested; - no harvest
# for harvesting 4 codes are implemented:
# (1) assumes harvesting with main crop & cover crop, cover crop leaves the field, plant growth stopped
# (2) assumes harvesting with main crop cover crop remains on the field; plant growth stopped
# (3) assumes harvesting with main crop & cover crop; plant growth continues (may not be suitable for meadows)
# (4) assumes harvesting with main crop plant growth continues
# FracHarv is the fraction of the target biomass which will be removed by the harvest (according to harvest code)
# CID 27 spring wheat; 88 winter rape; 97 winter barley; 12 pasture; 7 Forrest-Deciduous; 98 urban; 8 Coniferous Forrest; 28 Winter-Wheat; 31Spring Barley; 20 Maize; 100 yellow Mustard; 16 Range-Brush; 18 Water
# MID: 0 Fallow; 1 Forrest-Deciduous; 2 Forrest-Coniferous; 3 Pasture; 4 Range-Grasses; 5 Range-Brush; 6 Water(not supported in AgES-W); 7 Urban Areas; 
# Tue Aug 27 12:04:23 MDT 2013

@H,MID,CID,Date,TID,FID,FAmount,PLANT,HARVEST,FRACHARV,Description
,11,28, 08-28,-,45,900,-,-,-,desc
,11,28, 09-06,76,-,-,-,-,-,desc
,11,28, 09-24,-,-,-,1,-,-,desc
,11,28, 03-30,-,45,900,-,-,-,desc
,11,28, 05-29,-,21,250,-,-,-,desc
,11,28, 05-30,-,5,150,-,-,-,desc
,11,28, 08-07,-,-,-,-,1,0.9,desc
,11,28, 08-08,1,-,-,-,-,-,desc
,11,97, 09-06,76,-,-,-,-,-,desc
,11,97, 09-23,-,-,-,1,-,-,desc
,11,97, 03-3o,-,45,1800,-,-,-,desc
,11,97, 04-03,-,21,250,-,-,-,desc
,11,97, 05-29,-,5,150,-,-,-,desc
,11,97, 08-02,-,-,-,-,1,0.9,desc
,11,97, 08-17,1,-,-,-,-,-,desc
,11,88, 08-18,76,-,-,-,-,-,desc
,11,88, 08-30,-,-,-,1,-,-,desc
,11,88, 09-26,-,45,1400,-,-,-,desc
,11,88, 05-09,-,21,600,-,-,-,desc
,11,88, 05-29,-,5,120,-,-,-,desc
,11,88, 07-30,-,-,-,-,1,1,desc
,11,88, 08-07,1,-,-,-,-,-,desc
,12,88, 08-18,76,-,-,-,-,-,desc
,12,88, 08-30,-,-,-,1,-,-,desc
,12,88, 09-26,-,45,1400,-,-,-,desc
,12,88, 05-09,-,21,600,-,-,-,desc
,12,88, 05-29,-,5,120,-,-,-,desc
,12,88, 07-30,-,-,-,-,1,1,desc
,12,88, 08-07,1,-,-,-,-,-,desc
,12,28, 08-28,-,45,900,-,-,-,desc
,12,28, 09-06,76,-,-,-,-,-,desc
,12,28, 09-24,-,-,-,1,-,-,desc
,12,28, 03-30,-,45,900,-,-,-,desc
,12,28, 05-29,-,21,250,-,-,-,desc
,12,28, 05-30,-,5,150,-,-,-,desc
,12,28, 08-07,-,-,-,-,1,0.9,desc
,12,28, 08-08,1,-,-,-,-,-,desc
,12,20, 03-15,76,-,-,-,-,-,desc
,12,20, 03-30,-,45,2300,-,-,-,desc
,12,20, 04-09,-,-,-,1,-,-,desc
,12,20, 05-19,-,21,740,-,-,-,desc
,12,20, 10-26,-,-,-,-,1,0.9,desc
,12,20, 10-31,1,-,-,-,-,-,desc
,12,31, 02-19,76,-,-,-,-,-,desc
,12,31, 03-01,-,-,-,1,-,-,desc
,12,31, 04-01,-,45,800,-,-,-,desc
,12,31, 05-01,-,21,200,-,-,-,desc
,12,31, 08-07,-,-,-,-,1,0.9,desc
,12,31, 08-08,1,-,-,-,-,-,desc
,12,28, 09-06,76,-,-,-,-,-,desc
,12,28, 09-24,-,-,-,1,-,-,desc
,12,28, 03-30,-,45,900,-,-,-,desc
,12,28, 05-29,-,21,250,-,-,-,desc
,12,28, 05-30,-,5,150,-,-,-,desc
,12,28, 08-07,-,-,-,-,1,0.9,desc
,12,28, 08-08,1,-,-,-,-,-,desc
,12,97, 09-06,76,-,-,-,-,-,desc
,12,97, 09-23,-,-,-,1,-,-,desc
,12,97, 03-3o,-,45,1800,-,-,-,desc
,12,97, 04-03,-,21,250,-,-,-,desc
,12,97, 05-29,-,5,150,-,-,-,desc
,12,97, 08-02,-,-,-,-,1,0.9,desc
,12,97, 08-17,1,-,-,-,-,-,desc
,13,97, 09-06,76,-,-,-,-,-,desc
,13,97, 09-23,-,-,-,1,-,-,desc
,13,97, 03-3o,-,45,1800,-,-,-,desc
,13,97, 04-03,-,21,250,-,-,-,desc
,13,97, 05-29,-,5,150,-,-,-,desc
,13,97, 08-02,-,-,-,-,1,0.9,desc
,13,97, 08-17,1,-,-,-,-,-,desc
,13,88, 08-18,76,-,-,-,-,-,desc
,13,88, 08-30,-,-,-,1,-,-,desc
,13,88, 09-26,-,45,1400,-,-,-,desc
,13,88, 05-09,-,21,600,-,-,-,desc
,13,88, 05-29,-,5,120,-,-,-,desc
,13,88, 07-30,-,-,-,-,1,1,desc
,13,88, 08-07,1,-,-,-,-,-,desc
,13,28, 09-06,76,-,-,-,-,-,desc
,13,28, 09-24,-,-,-,1,-,-,desc
,13,28, 03-30,-,45,900,-,-,-,desc
,13,28, 05-29,-,21,250,-,-,-,desc
,13,28, 05-30,-,5,150,-,-,-,desc
,13,28, 08-07,-,-,-,-,1,0.9,desc
,13,28, 08-08,1,-,-,-,-,-,desc
,13,20, 03-15,76,-,-,-,-,-,desc
,13,20, 03-30,-,45,2300,-,-,-,desc
,13,20, 04-09,-,-,-,1,-,-,desc
,13,20, 05-19,-,21,740,-,-,-,desc
