@T,hrus,,,,,,,,,,,,,
descr,hrus.csv,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,slopelength,sedpool
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,9999,999999,9999999,10000,9999999999,3,90,360,999999,9999,9999,9999,9999,9999
unit,n/a,m,m,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,m,t
,1,513170,4495602,1580,95425,3,1.7,175,0,101,1,1,1,0
,2,513167,4495420,1581,33025,2,2.3,71,0,102,1,1,1,0
,4,513412,4495455,1576,14375,3,2.3,191,0,104,1,1,1,0
,5,513510,4495508,1578,1925,2,2.8,171,0,105,1,1,1,0
,6,513287,4495409,1578,21325,2,2.1,76,0,106,1,1,1,0
,8,513340,4495474,1576,3875,3,1.3,169,0,108,1,1,1,0
,9,513522,4495413,1574,19950,2,2.1,160,0,109,1,1,1,0
,10,513065,4495472,1581,5400,2,3.1,36,0,110,1,1,1,0
,12,513057,4495431,1584,6300,2,3.8,38,0,112,1,1,1,0
,13,513627,4495383,1571,19875,3,1.8,116,0,113,1,1,1,0
,15,513057,4495366,1586,5750,2,1.5,147,0,115,1,1,1,0
,17,513747,4495364,1569,24150,3,1.7,97,0,117,1,1,1,0
,19,513112,4495386,1584,2600,2,3.9,38,0,119,1,1,1,0
,20,513407,4495386,1574,2775,3,1.5,178,0,120,1,1,1,0
,21,513885,4495331,1566,25825,3,2.2,100,0,121,1,1,1,0
,22,513385,4495340,1574,6575,2,2,79,0,122,1,1,1,0
,23,513462,4495364,1574,1050,2,1.7,190,0,123,1,1,1,0
,24,513270,4495351,1579,4075,2,4,54,0,124,1,1,1,0
,25,513457,4495342,1573,625,3,1.4,169,0,125,1,1,1,0
,26,513452,4495326,1573,225,2,1.2,88,0,126,1,1,1,0
,27,513527,4495294,1572,1300,3,1.5,174,0,127,1,1,1,0
,28,513050,4495281,1587,4025,2,1,147,0,128,1,1,1,0
,29,513452,4495309,1573,550,3,1.4,67,0,129,1,1,1,0
,30,513122,4495212,1585,19075,2,1.2,104,0,130,1,1,1,0
,31,513397,4495284,1574,4675,3,2.5,65,0,131,1,1,1,0
,32,513337,4495301,1578,300,2,5,61,0,132,1,1,1,0
,33,513455,4495293,1573,550,3,1.5,54,0,133,1,1,1,0
,34,513485,4495257,1573,9150,2,2,35,0,134,1,1,1,0
,35,513997,4495241,1562,12700,3,2.8,107,0,135,1,1,1,0
,36,513360,4495229,1578,9625,3,3.2,82,0,136,1,1,1,0
,37,513595,4495272,1570,1325,3,2,151,0,137,1,1,1,0
,38,513220,4495173,1583,26500,2,1.3,84,0,138,1,1,1,0
,39,513287,4495230,1581,4150,2,2.8,87,0,139,1,1,1,0
,40,513592,4495209,1571,11275,2,2.3,36,0,140,1,1,1,0
,41,513732,4495237,1567,6625,3,2,78,0,141,1,1,1,0
,43,513420,4495247,1575,150,2,2.3,35,0,143,1,1,1,0
,44,513830,4495211,1565,5175,2,3.7,32,0,144,1,1,1,0
,45,513387,4495173,1578,3375,2,3.6,26,0,145,1,1,1,0
,46,513470,4495172,1577,11325,2,3.9,29,0,146,1,1,1,0
,47,513990,4495184,1562,8825,3,4.2,113,0,147,1,1,1,0
,48,513700,4495155,1570,18050,2,2.4,35,0,148,1,1,1,0
,49,513830,4495123,1568,16225,2,2.5,38,0,149,1,1,1,0
,50,513572,4495117,1577,12550,2,4.1,36,0,150,1,1,1,0
,51,513322,4495103,1583,8025,2,1.5,187,0,151,1,1,1,0
,52,513912,4495134,1565,425,2,1.4,73,0,152,1,1,1,0
,53,513372,4495083,1583,4225,2,1.9,40,0,153,1,1,1,0
,54,513435,4495013,1584,22600,2,1.5,74,0,154,1,1,1,0
,55,513667,4495046,1577,12775,2,4.3,36,0,155,1,1,1,0
,56,513535,4494946,1584,25925,2,1.3,65,0,156,1,1,1,0
,57,513747,4495015,1574,525,2,4.1,50,0,157,1,1,1,0
,58,513607,4494918,1582,9825,2,1.9,54,0,158,1,1,1,0
